title,price,product_url,image_url,description,date_fetch,parent,brand
"""Saucy"" Pet Tee",$19.99 USD,https://www.raos.com/products/saucy-pet-tee,//www.raos.com/cdn/shop/products/RAOS-145-Saucy_533x.png?v=1689192911,"This triblend short-sleeve tee is 50% polyester, 25% combed ring-spun cotton and 25% rayon.",2024-07-28,Campbell Soup Company,Rao's
"""Saucy"" Tee",$19.99 USD,https://www.raos.com/products/saucy-tee,//www.raos.com/cdn/shop/products/saucy-crew_533x.png?v=1689192830,"This triblend short-sleeve tee is 50% polyester, 25% combed ring-spun cotton and 25% rayon.",2024-07-28,Campbell Soup Company,Rao's
3 Pack Sauce Gift Box,$30.00 USD,https://www.raos.com/products/3-pack-sauce-gift-box,//www.raos.com/cdn/shop/products/Sauce-3-pack_533x.png?v=1689192786,"Attractive custom made Rao's Sauce 3 pack Gift Box Includes: 24 ounce Arrabbiata, Tomato Basil and Marinara Sauces",2024-07-28,Campbell Soup Company,Rao's
30-Year Aged Balsamic Condiment,$130.00 USD,https://www.raos.com/products/30-year-aged-balsamic-condiment,//www.raos.com/cdn/shop/products/30Aged-Balsamic_533x.png?v=1689192847,A bittersweet condiment made from Trebbiano and Lambrusco grapes and aged for 30 years in open wood barrels to allow for natural fermentation and concentration. The final result is a perfectly balanced condiment for finishing your favorite Italian recipe.,2024-07-28,Campbell Soup Company,Rao's
30-Year Aged Balsamic Condiment - Exclusive,$130.00 USD,https://www.raos.com/products/30-year-aged-balsamic-condiment-exclusive,//www.raos.com/cdn/shop/products/30Aged-Balsamic_d1be2b2a-eb7a-4dbe-9783-6ad1a00c9091_533x.png?v=1651166057,A bittersweet condiment made from Trebbiano and Lambrusco grapes and aged for 30 years in open wood barrels to allow for natural fermentation and concentration. The final result is a perfectly balanced condiment for finishing your favorite Italian recipe.,2024-07-28,Campbell Soup Company,Rao's
6-Year Balsamic Condiment - Exclusive,$38.00 USD,https://www.raos.com/products/6-year-balsamic-condiment-exclusive,//www.raos.com/cdn/shop/products/6Aged-Balsamic_14080bb1-cf35-477c-82c1-c95ccf77595d_533x.png?v=1651166060,"A condiment balancing sweetness and acidity made from Trebbiano and Lambrusco grapes and aged in open wood barrels, resulting in a complex flavor that’s ideal for cooking.",2024-07-28,Campbell Soup Company,Rao's
Apron,$9.99 USD,https://www.raos.com/products/apron,//www.raos.com/cdn/shop/products/raos-apron_533x.png?v=1689192828,Keep Rao’s Homemade products on your plate and off your clothes. 100% cotton twill.,2024-07-28,Campbell Soup Company,Rao's
Arrabbiata Sauce - 24oz Case,$8.99 USD,https://www.raos.com/products/arrabbiata-sauce-24oz-case,//www.raos.com/cdn/shop/products/Raos_Sauce_Arrabbiata_24oz_ProductShot_600x600_3be83967-736e-4561-b03b-e11540e56c08_533x.png?v=1689192856,"Bring home the famous taste of Rao’s Homemade® Arrabbiata Sauce. Add a kick of heat to your meal. Arrabbiata or “angry” sauce is a spicy, yet balanced sauce made with slow-simmered Italian tomatoes and crushed red pepper.",2024-07-28,Campbell Soup Company,Rao's
Arrabbiata Sauce - 32oz Case,$9.99 USD,https://www.raos.com/products/arrabbiata-sauce-32oz-case,//www.raos.com/cdn/shop/products/Raos_Sauce_Arrabbiata_24oz_ProductShot_600x600_37a2de09-e0d5-4921-b18a-ef0dcca5a4fd_533x.png?v=1689192877,"Bring home the famous taste of Rao’s Homemade® Arrabbiata Sauce. Add a kick of heat to your meal. Arrabbiata or “angry” sauce is a spicy, yet balanced sauce made with slow-simmered Italian tomatoes and crushed red pepper.",2024-07-28,Campbell Soup Company,Rao's
Arrabbiata Spicy Hot Ketchup,$5.49 USD,https://www.raos.com/products/arrabbiata-ketchup,//www.raos.com/cdn/shop/files/ArrabbiataSpicyKetchup_533x.webp?v=1701287675,"Heat up your meal with Rao's Arrabbiata Spicy Ketchup, its peppers and spice giving your food a little more of a kick. Try some today!",2024-07-28,Campbell Soup Company,Rao's
Balsamic Marinara,$16.99 USD,https://www.raos.com/products/balsamic-marinara,//www.raos.com/cdn/shop/products/Raos_LR_BalsamicMarinara_ProductShot_Front_April22_600x600_e259a82c-1de4-47d9-8d7a-517c3a5b4a31_533x.webp?v=1663097112,"Rao's Homemade has crafted a new Marinara which pairs balsamic vinegar made from Lambrusco and Trebbiano grapes aged in wood barrels for two years with Italian tomatoes to create a sophisticated sauce that will elevate any meal.  The addition of balsamic vinegar to this marinara creates a unique sauce that balances sweet and sour and pairs perfectly with chicken, pork, or the protein of your choice.",2024-07-28,Campbell Soup Company,Rao's
Balsamic Onion Compote,$15.00 USD,https://www.raos.com/products/balsamic-onion-compote,//www.raos.com/cdn/shop/products/OnionCompote_Product_533x.webp?v=1660245668,"A sweet and savory spread made with onions and balsamic vinegar, perfect for your spring Charcuterie plate.",2024-07-28,Campbell Soup Company,Rao's
N/A,N/A,N/A,N/A,N/A,2024-07-28,Campbell Soup Company,Rao's
Balsamic Strawberry Compote,$15.00 USD,https://www.raos.com/products/rao-s-homemade-limited-reserve-balsamic-strawberry-compote,//www.raos.com/cdn/shop/products/BalsamicStrawberryCompote2_533x.webp?v=1670526494,N/A,2024-07-28,Campbell Soup Company,Rao's
Bamboo Spoon,$2.49 USD,https://www.raos.com/products/bamboo-spoon,//www.raos.com/cdn/shop/products/raos-bamboo-spoon_533x.png?v=1689192830,This bamboo spoon is perfect for stirring and mixing your favorite dishes.,2024-07-28,Campbell Soup Company,Rao's
Black Truffle Flavored Ketchup with Olive Oil,$5.49 USD,https://www.raos.com/products/truffle-ketchup,//www.raos.com/cdn/shop/files/TruffleKetchupFlavoredwithOliveOil_533x.webp?v=1701287576,This specialty flavored ketchup includes the essence and flavor of black truffles to deliver an elevated and totally unique experience. Try some today!,2024-07-28,Campbell Soup Company,Rao's
Bolognese Sauce - 24oz Case,$8.99 USD,https://www.raos.com/products/bolognese-sauce-24ox-case,//www.raos.com/cdn/shop/products/Raos_Sauce_Bolognese_24oz_ProductShot_600x600_21c6176e-a1c5-4a54-a415-209dd694d6fc_533x.png?v=1689192856,"Bring home the famous taste of Rao’s Homestyle® Bolognese. Our Bolognese sauce is a mouth-watering combination of naturally sweet, Italian tomatoes, beef, pork, pancetta and vegetables.",2024-07-28,Campbell Soup Company,Rao's
Bucatini Pasta,$3.59 USD,https://www.raos.com/products/bucatini-pasta-1,//www.raos.com/cdn/shop/files/BucatiniPasta_533x.webp?v=1698937392,N/A,2024-07-28,Campbell Soup Company,Rao's
Build your own case,From $68.29 USD,https://www.raos.com/products/build-your-own-case,//www.raos.com/cdn/shop/products/5230491d34515f66f690ef9fc4cb9386_27ae6b23-5ef7-4f9f-95fe-c61071022ddc_533x.png?v=1689192856,N/A,2024-07-28,Campbell Soup Company,Rao's
Build your own case,$100.00 USD,https://www.raos.com/products/build-your-own-case-1,//www.raos.com/cdn/shop/products/5230491d34515f66f690ef9fc4cb9386_d1c0d899-8bd1-42af-b977-2afeadc96d74_533x.png?v=1689192880,N/A,2024-07-28,Campbell Soup Company,Rao's
Build your own case,$100.00 USD,https://www.raos.com/products/build-your-own-case-2,//www.raos.com/cdn/shop/products/5230491d34515f66f690ef9fc4cb9386_a0ccdf8f-191c-49f3-a5a6-6496a04a99af_533x.png?v=1689192880,N/A,2024-07-28,Campbell Soup Company,Rao's
Build your own case,$100.00 USD,https://www.raos.com/products/build-your-own-case-3,//www.raos.com/cdn/shop/products/5230491d34515f66f690ef9fc4cb9386_393928e5-0735-4ad3-b306-6e5ba9506e6c_533x.png?v=1651166077,N/A,2024-07-28,Campbell Soup Company,Rao's
Build your own case,$100.00 USD,https://www.raos.com/products/build-your-own-case-4,//www.raos.com/cdn/shop/products/5230491d34515f66f690ef9fc4cb9386_d63f4143-8642-4d70-95d1-d3b5cf35d8a4_533x.png?v=1651166080,N/A,2024-07-28,Campbell Soup Company,Rao's
Build your own case,$100.00 USD,https://www.raos.com/products/build-your-own-case-5,//www.raos.com/cdn/shop/products/5230491d34515f66f690ef9fc4cb9386_799611ae-036c-4617-b2eb-67acd80f3d25_533x.png?v=1651166080,N/A,2024-07-28,Campbell Soup Company,Rao's
Build your own case,$100.00 USD,https://www.raos.com/products/build-your-own-case-6,//www.raos.com/cdn/shop/products/5230491d34515f66f690ef9fc4cb9386_04d0a1c6-3cfc-48c8-b1f7-40451b5b8a06_533x.png?v=1689192894,N/A,2024-07-28,Campbell Soup Company,Rao's
N/A,N/A,N/A,N/A,N/A,2024-07-28,Campbell Soup Company,Rao's
Build your own case,$100.00 USD,https://www.raos.com/products/build-your-own-case-7,//www.raos.com/cdn/shop/products/5230491d34515f66f690ef9fc4cb9386_a5b33578-0ea0-4be3-8996-79d76b9c55d3_533x.png?v=1689192897,N/A,2024-07-28,Campbell Soup Company,Rao's
Build your own case,$100.00 USD,https://www.raos.com/products/build-your-own-case-8,//www.raos.com/cdn/shop/products/5230491d34515f66f690ef9fc4cb9386_bf1de229-c682-4b45-9897-cab83f30d306_533x.png?v=1689192897,N/A,2024-07-28,Campbell Soup Company,Rao's
Build your own case,$100.00 USD,https://www.raos.com/products/build-your-own-case-9,//www.raos.com/cdn/shop/products/5230491d34515f66f690ef9fc4cb9386_6b5a14c5-b57a-45a3-8223-a4f05e9082d2_533x.png?v=1689192907,N/A,2024-07-28,Campbell Soup Company,Rao's
Build your own case,$100.00 USD,https://www.raos.com/products/build-your-own-case-10,//www.raos.com/cdn/shop/products/5230491d34515f66f690ef9fc4cb9386_4d1d3ab6-21e5-40a1-89e5-33dd763fcf36_533x.png?v=1689192907,N/A,2024-07-28,Campbell Soup Company,Rao's
Build your own case,$100.00 USD,https://www.raos.com/products/build-your-own-case-11,//www.raos.com/cdn/shop/products/5230491d34515f66f690ef9fc4cb9386_008c8f4e-bc8f-4abe-b611-01f1ca9c6db8_533x.png?v=1689192911,N/A,2024-07-28,Campbell Soup Company,Rao's
Build your own case,$100.00 USD,https://www.raos.com/products/build-your-own-case-12,//www.raos.com/cdn/shop/products/5230491d34515f66f690ef9fc4cb9386_af3d84f9-6ddc-4ab5-830e-a50633dacb8e_533x.png?v=1689192911,N/A,2024-07-28,Campbell Soup Company,Rao's
Build your own case,$100.00 USD,https://www.raos.com/products/build-your-own-case-13,//www.raos.com/cdn/shop/products/5230491d34515f66f690ef9fc4cb9386_1f3350e6-8e65-4158-9de5-a7c1d26cb107_533x.png?v=1689192911,N/A,2024-07-28,Campbell Soup Company,Rao's
Build your own case,$100.00 USD,https://www.raos.com/products/build-your-own-case-14,//www.raos.com/cdn/shop/products/5230491d34515f66f690ef9fc4cb9386_e5f97285-79c8-4834-a5fa-5840758d2827_533x.png?v=1689192917,N/A,2024-07-28,Campbell Soup Company,Rao's
Build your own case,$100.00 USD,https://www.raos.com/products/build-your-own-case-15,//www.raos.com/cdn/shop/products/5230491d34515f66f690ef9fc4cb9386_9aac5526-ef58-4ee0-9c0d-fa3bd9a059eb_533x.png?v=1689192917,N/A,2024-07-28,Campbell Soup Company,Rao's
Build your own case,$100.00 USD,https://www.raos.com/products/build-your-own-case-16,//www.raos.com/cdn/shop/products/5230491d34515f66f690ef9fc4cb9386_5aa31760-2dc9-4e74-8bf8-012dc1fc7e26_533x.png?v=1689192920,N/A,2024-07-28,Campbell Soup Company,Rao's
Build your own case,$100.00 USD,https://www.raos.com/products/build-your-own-case-17,//www.raos.com/cdn/shop/products/5230491d34515f66f690ef9fc4cb9386_0835c1cd-d0e3-40a2-932a-f6ba1cacbaf3_533x.png?v=1689192920,N/A,2024-07-28,Campbell Soup Company,Rao's
Build your own case,$100.00 USD,https://www.raos.com/products/build-your-own-case-18,//www.raos.com/cdn/shop/products/5230491d34515f66f690ef9fc4cb9386_0312892b-4e40-4dd6-93a6-0a74c62dafa1_533x.png?v=1689192920,N/A,2024-07-28,Campbell Soup Company,Rao's
N/A,N/A,N/A,N/A,N/A,2024-07-28,Campbell Soup Company,Rao's
Build your own case,$100.00 USD,https://www.raos.com/products/build-your-own-case-19,//www.raos.com/cdn/shop/products/5230491d34515f66f690ef9fc4cb9386_1c37af25-05b1-48ab-bb8e-070287623313_533x.png?v=1689192920,N/A,2024-07-28,Campbell Soup Company,Rao's
Build your own case,$100.00 USD,https://www.raos.com/products/build-your-own-case-20,//www.raos.com/cdn/shop/products/5230491d34515f66f690ef9fc4cb9386_26602466-0c66-4626-a3f2-c21f6f11da31_533x.png?v=1689192923,N/A,2024-07-28,Campbell Soup Company,Rao's
Build your own case,$100.00 USD,https://www.raos.com/products/build-your-own-case-21,//www.raos.com/cdn/shop/products/5230491d34515f66f690ef9fc4cb9386_1ee7c195-209e-4f1a-a0c1-48a52ee8563d_533x.png?v=1689192929,N/A,2024-07-28,Campbell Soup Company,Rao's
Build your own case,$100.00 USD,https://www.raos.com/products/build-your-own-case-22,//www.raos.com/cdn/shop/products/5230491d34515f66f690ef9fc4cb9386_1ee7c195-209e-4f1a-a0c1-48a52ee8563d_533x.webp?v=1673366737,N/A,2024-07-28,Campbell Soup Company,Rao's
Build your own case,$100.00 USD,https://www.raos.com/products/build-your-own-case-23,//www.raos.com/cdn/shop/products/5230491d34515f66f690ef9fc4cb9386_9e1fad85-fdf4-4c74-a4bc-7dc8986430d8_533x.webp?v=1674619054,N/A,2024-07-28,Campbell Soup Company,Rao's
Build your own case,$100.00 USD,https://www.raos.com/products/build-your-own-case-24,//www.raos.com/cdn/shop/products/5230491d34515f66f690ef9fc4cb9386_5af8b907-2b28-4636-978d-a2a0af399b02_533x.webp?v=1675882273,N/A,2024-07-28,Campbell Soup Company,Rao's
Build your own case,$100.00 USD,https://www.raos.com/products/build-your-own-case-25,//www.raos.com/cdn/shop/products/5230491d34515f66f690ef9fc4cb9386_ff025ee4-f1a2-468c-9be7-28042a62ec44_533x.webp?v=1677453201,N/A,2024-07-28,Campbell Soup Company,Rao's
Build your own case,$100.00 USD,https://www.raos.com/products/build-your-own-case-26,//www.raos.com/cdn/shop/products/5230491d34515f66f690ef9fc4cb9386_5c3524e9-755b-43c6-b186-238c3fcbeb54_533x.webp?v=1678922478,N/A,2024-07-28,Campbell Soup Company,Rao's
Build your own case,$100.00 USD,https://www.raos.com/products/build-your-own-case-27,//www.raos.com/cdn/shop/products/5230491d34515f66f690ef9fc4cb9386_4f6efd9a-d625-41a4-b7d1-60e69e2dcd3b_533x.webp?v=1680801890,N/A,2024-07-28,Campbell Soup Company,Rao's
Build your own case,$100.00 USD,https://www.raos.com/products/build-your-own-case-28,//www.raos.com/cdn/shop/products/5230491d34515f66f690ef9fc4cb9386_ca56c82b-1d69-4731-91ec-d5d536eaeea0_533x.webp?v=1683159776,N/A,2024-07-28,Campbell Soup Company,Rao's
Build your own case,$100.00 USD,https://www.raos.com/products/build-your-own-case-29,//www.raos.com/cdn/shop/products/5230491d34515f66f690ef9fc4cb9386_97e30a92-5eb7-4c4d-9df7-1d94613e1496_533x.webp?v=1685239928,N/A,2024-07-28,Campbell Soup Company,Rao's
Build your own case,$100.00 USD,https://www.raos.com/products/build-your-own-case-30,//www.raos.com/cdn/shop/products/5230491d34515f66f690ef9fc4cb9386_5d42f22f-b0ab-4cdf-ab67-3b3c2910d080_533x.webp?v=1687719215,N/A,2024-07-28,Campbell Soup Company,Rao's
N/A,N/A,N/A,N/A,N/A,2024-07-28,Campbell Soup Company,Rao's
Build your own case,$100.00 USD,https://www.raos.com/products/build-your-own-case-31,//www.raos.com/cdn/shop/products/5230491d34515f66f690ef9fc4cb9386_89fa01a7-6843-48c8-be4c-e48049a2489f_533x.webp?v=1690474711,N/A,2024-07-28,Campbell Soup Company,Rao's
Build your own case,$100.00 USD,https://www.raos.com/products/build-your-own-case-32,//www.raos.com/cdn/shop/products/5230491d34515f66f690ef9fc4cb9386_4f3e333d-7545-4165-87c4-e2bcd24a7533_533x.webp?v=1691861631,N/A,2024-07-28,Campbell Soup Company,Rao's
Build your own case,$100.00 USD,https://www.raos.com/products/build-your-own-case-33,//www.raos.com/cdn/shop/products/5230491d34515f66f690ef9fc4cb9386_3fdb2769-bb17-4270-9bf2-3f8de886a794_533x.webp?v=1693055396,N/A,2024-07-28,Campbell Soup Company,Rao's
Build your own case,$100.00 USD,https://www.raos.com/products/build-your-own-case-34,//www.raos.com/cdn/shop/products/5230491d34515f66f690ef9fc4cb9386_018fba51-e3d3-46ec-9465-07b40851343e_533x.webp?v=1694987760,N/A,2024-07-28,Campbell Soup Company,Rao's
Build your own case,$100.00 USD,https://www.raos.com/products/build-your-own-case-35,//www.raos.com/cdn/shop/products/5230491d34515f66f690ef9fc4cb9386_4d17f23a-c88e-4bdd-aa97-d4296d3800f9_533x.webp?v=1697034110,N/A,2024-07-28,Campbell Soup Company,Rao's
Build your own case,$100.00 USD,https://www.raos.com/products/build-your-own-case-36,//www.raos.com/cdn/shop/products/5230491d34515f66f690ef9fc4cb9386_04e96887-fbea-4be5-8cdf-8b9c38e82cfa_533x.webp?v=1698513354,N/A,2024-07-28,Campbell Soup Company,Rao's
Build your own case,$100.00 USD,https://www.raos.com/products/build-your-own-case-37,//www.raos.com/cdn/shop/products/5230491d34515f66f690ef9fc4cb9386_53382151-2329-411d-8e5a-fd1c33db19b7_533x.webp?v=1700091696,N/A,2024-07-28,Campbell Soup Company,Rao's
